umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,hdbscan_metric,whitening,n_clusters,noise_ratio,dbcv,silhouette
35,15,0.0,correlation,10,eom,euclidean,whiten_128,17,0.5224,0.215,0.5153
35,15,0.0,correlation,15,eom,cosine,whiten_128,11,0.584,0.2494,0.6471
35,15,0.0,correlation,15,eom,euclidean,whiten_128,12,0.4389,0.2217,0.4062
35,15,0.0,cosine,15,eom,cosine,whiten_128,14,0.555,0.3214,0.6832
35,15,0.0,cosine,10,eom,euclidean,whiten_128,18,0.4655,0.2526,0.4929
35,15,0.0,cosine,10,eom,cosine,whiten_128,20,0.474,0.3601,0.7126
35,15,0.0,cosine,15,eom,euclidean,whiten_128,15,0.5574,0.2001,0.5094
35,15,0.05,correlation,10,eom,cosine,whiten_128,16,0.5719,0.2733,0.6967
35,15,0.05,correlation,10,eom,euclidean,whiten_128,17,0.5526,0.1995,0.5101
35,15,0.05,correlation,15,eom,cosine,whiten_128,9,0.6917,0.1911,0.6201
35,15,0.05,correlation,15,eom,euclidean,whiten_128,9,0.6832,0.1573,0.5267
35,15,0.05,cosine,10,eom,cosine,whiten_128,17,0.5429,0.2433,0.6418
35,15,0.05,cosine,15,eom,cosine,whiten_128,9,0.6252,0.1909,0.5618
35,15,0.05,cosine,10,eom,euclidean,whiten_128,17,0.5357,0.189,0.4721
35,15,0.05,cosine,15,eom,euclidean,whiten_128,9,0.6119,0.1501,0.413
15,10,0.0,correlation,10,eom,cosine,whiten_256,15,0.5985,0.2205,0.6142
15,10,0.0,correlation,10,eom,euclidean,whiten_256,14,0.5647,0.1652,0.3524
15,10,0.0,correlation,15,eom,cosine,whiten_256,8,0.7267,0.1576,0.625
15,10,0.0,cosine,10,eom,cosine,whiten_256,17,0.6046,0.2797,0.6721
15,10,0.0,correlation,15,eom,euclidean,whiten_256,10,0.6191,0.1318,0.4526
15,10,0.0,cosine,15,eom,cosine,whiten_256,9,0.6796,0.1653,0.4582
15,10,0.0,cosine,10,eom,euclidean,whiten_256,17,0.5538,0.1812,0.4366
15,10,0.0,cosine,15,eom,euclidean,whiten_256,10,0.6397,0.1002,0.3968
15,10,0.05,correlation,10,eom,cosine,whiten_256,11,0.688,0.1962,0.5372
15,10,0.05,correlation,10,eom,euclidean,whiten_256,14,0.5961,0.1699,0.4357
15,10,0.05,correlation,15,eom,cosine,whiten_256,6,0.6977,0.1679,0.495
15,10,0.05,cosine,10,eom,cosine,whiten_256,15,0.5973,0.2477,0.5919
15,10,0.05,correlation,15,eom,euclidean,whiten_256,6,0.6808,0.1031,0.3574
15,10,0.05,cosine,15,eom,cosine,whiten_256,7,0.74,0.1412,0.5378
15,10,0.05,cosine,10,eom,euclidean,whiten_256,14,0.6288,0.1827,0.4572
15,10,0.05,cosine,15,eom,euclidean,whiten_256,7,0.7231,0.1102,0.3636
15,15,0.0,correlation,10,eom,cosine,whiten_256,15,0.5732,0.2555,0.6169
15,15,0.0,correlation,10,eom,euclidean,whiten_256,14,0.6119,0.1557,0.4799
15,15,0.0,correlation,15,eom,cosine,whiten_256,10,0.6856,0.1736,0.6256
15,15,0.0,correlation,15,eom,euclidean,whiten_256,8,0.6917,0.1334,0.4643
15,15,0.0,cosine,10,eom,cosine,whiten_256,12,0.5961,0.2549,0.5904
15,15,0.0,cosine,10,eom,euclidean,whiten_256,12,0.6155,0.1444,0.4488
15,15,0.0,cosine,15,eom,cosine,whiten_256,9,0.6771,0.1865,0.6378
15,15,0.0,cosine,15,eom,euclidean,whiten_256,9,0.653,0.1098,0.4213
15,15,0.05,correlation,10,eom,euclidean,whiten_256,13,0.6554,0.0974,0.443
15,15,0.05,correlation,10,eom,cosine,whiten_256,13,0.705,0.1816,0.6747
15,15,0.05,correlation,15,eom,cosine,whiten_256,5,0.8247,0.0917,0.6683
15,15,0.05,cosine,10,eom,euclidean,whiten_256,13,0.6651,0.1117,0.4261
15,15,0.05,cosine,15,eom,cosine,whiten_256,6,0.8077,0.113,0.6845
15,15,0.05,cosine,10,eom,cosine,whiten_256,13,0.6505,0.2172,0.603
15,15,0.05,correlation,15,eom,euclidean,whiten_256,2,0.5091,-0.0336,0.1451
15,15,0.05,cosine,15,eom,euclidean,whiten_256,6,0.7594,0.046,0.3354
35,10,0.0,correlation,10,eom,cosine,whiten_256,15,0.5429,0.2422,0.5918
35,10,0.0,correlation,10,eom,euclidean,whiten_256,12,0.6566,0.1383,0.3979
35,10,0.0,correlation,15,eom,euclidean,whiten_256,2,0.3809,0.0996,0.1197
35,10,0.0,cosine,10,eom,euclidean,whiten_256,14,0.5901,0.1634,0.362
35,10,0.0,correlation,15,eom,cosine,whiten_256,7,0.6759,0.1601,0.427
35,10,0.0,cosine,15,eom,cosine,whiten_256,7,0.5973,0.2089,0.3633
35,10,0.0,cosine,10,eom,cosine,whiten_256,15,0.6276,0.2235,0.5374
35,10,0.0,cosine,15,eom,euclidean,whiten_256,4,0.6844,0.0882,0.3077
35,10,0.05,correlation,10,eom,euclidean,whiten_256,13,0.6034,0.1619,0.4507
35,10,0.05,correlation,10,eom,cosine,whiten_256,12,0.6663,0.1808,0.5413
35,10,0.05,correlation,15,eom,cosine,whiten_256,9,0.7134,0.1563,0.6367
35,10,0.05,correlation,15,eom,euclidean,whiten_256,2,0.4643,0.0682,0.1563
35,10,0.05,cosine,10,eom,cosine,whiten_256,14,0.6276,0.2613,0.5546
35,10,0.05,cosine,10,eom,euclidean,whiten_256,13,0.6058,0.1401,0.4206
35,10,0.05,cosine,15,eom,cosine,whiten_256,2,0.4123,0.2125,0.1
35,10,0.05,cosine,15,eom,euclidean,whiten_256,2,0.4559,0.1628,0.0806
35,15,0.0,correlation,10,eom,euclidean,whiten_256,13,0.5998,0.1606,0.395
35,15,0.0,correlation,10,eom,cosine,whiten_256,16,0.6239,0.227,0.6433
35,15,0.0,correlation,15,eom,cosine,whiten_256,9,0.7025,0.1666,0.5492
35,15,0.0,correlation,15,eom,euclidean,whiten_256,9,0.6977,0.109,0.4012
35,15,0.0,cosine,10,eom,cosine,whiten_256,16,0.5695,0.2509,0.6202
35,15,0.0,cosine,10,eom,euclidean,whiten_256,12,0.5816,0.1531,0.3904
35,15,0.0,cosine,15,eom,cosine,whiten_256,9,0.659,0.1925,0.5367
35,15,0.0,cosine,15,eom,euclidean,whiten_256,8,0.688,0.1152,0.3974
35,15,0.05,correlation,10,eom,euclidean,whiten_256,14,0.6082,0.167,0.4345
